,기준_년분기_코드,행정동_코드,월_평균_소득_금액,음식_지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,총_직장_인구_수,총_상주인구_수,총_유동인구_수
0,20231,11650652,3222382,3342744000,287,318,2,5,3,8,31,25472897119,614306,43401,23406,5970984
1,20231,11680690,3550527,714958000,88,97,2,2,2,2,9,10267281635,294118,8809,18031,3459896
2,20231,11680656,6567504,2347576000,106,120,3,3,7,8,14,10835924940,262248,192577,24138,3945565
3,20231,11710641,3568357,874812000,92,99,4,4,12,12,7,5909898978,162844,34975,21688,4485287
4,20231,11710610,2779980,1700014000,156,171,3,5,4,6,15,10310320177,315015,7762,33572,6582284
5,20231,11740550,4618641,282690000,35,37,0,0,0,0,2,1604403898,50865,2188,16057,3825786
6,20231,11740560,2465499,515662000,58,67,5,3,2,1,9,3414537771,105077,1985,8110,2328314
7,20231,11740610,2749741,3049511000,262,289,4,12,5,14,27,18120690698,528802,3817,30887,11398465
8,20231,11110615,3245251,19920662000,1017,1098,3,29,3,32,81,109066423037,2578011,97451,7051,14180166
9,20231,11140550,3733600,9139720000,431,501,3,15,4,19,70,69026633073,1670584,72930,2450,5470789
10,20231,11140650,3027979,1013353000,148,153,4,6,3,4,5,7906047285,208233,871,9927,3970529
11,20231,11140635,3894878,607873000,60,63,0,0,2,1,3,5105417806,173575,17658,18461,2125755
12,20231,11140540,4442451,2481664000,229,259,3,8,2,4,30,21830981721,546820,58705,4305,4527497
13,20231,11170530,3183091,3403956000,204,233,3,6,2,5,29,26498698112,579638,21173,6632,2309709
14,20231,11170690,4208562,607442000,24,25,0,0,0,0,1,802669838,34888,14416,13291,1832485
15,20231,11170510,3013677,694642000,79,85,1,1,5,4,6,5528714845,131811,2324,18208,4409716
16,20231,11200620,4442144,399713000,51,53,2,1,6,3,2,2364959838,51021,1331,14290,2965226
17,20231,11200790,2484354,1015508000,119,128,2,3,1,1,9,6221228016,217496,4708,15032,3414654
18,20231,11215770,2523958,1032119000,108,118,2,2,6,7,10,4495152558,139615,5044,30966,6607475
19,20231,11215710,2470026,9200836000,348,383,3,13,5,20,35,28591887545,754613,2662,20588,9565693
20,20231,11230710,3217279,2222606000,151,175,5,9,4,7,24,8998892530,287480,784,10009,5455906
21,20231,11230730,3071586,362619000,52,57,7,4,0,0,5,1888807879,92125,4402,23906,4871475
22,20231,11260660,2231082,334166000,65,67,2,1,3,2,2,4070624854,100297,1076,17398,4410286
23,20231,11290685,3736133,870799000,73,77,1,1,5,4,4,2353547184,91556,722,11218,4992259
24,20231,11290630,2934717,694915000,44,50,0,0,0,0,6,2378334080,61880,1757,23438,5878391
25,20231,11305603,2308539,100909000,29,30,7,2,7,2,1,776350788,16652,1380,18104,3143797
26,20231,11305608,2548326,418047000,38,42,0,0,0,0,4,1834823407,56445,1263,20018,3468224
27,20231,11320690,2895702,1651117000,233,258,3,7,7,18,25,7531128319,231490,6582,30854,6713096
28,20231,11350570,2728093,327275000,31,34,6,2,3,1,3,363867451,31762,1268,27157,3877176
29,20231,11350621,4623227,884231000,33,42,7,3,2,1,9,174465332,13323,2169,29087,3842693
30,20231,11380530,2396457,980610000,133,136,2,3,2,2,3,5603550966,218711,3113,28518,5675431
31,20231,11380580,2726133,1427753000,122,135,4,6,3,4,13,9038471330,313279,2895,25166,5806278
32,20231,11380600,2360910,1808765000,193,209,5,11,4,9,16,10412404605,268950,2243,26254,8420783
33,20231,11410700,3237719,1146063000,122,134,2,3,5,7,12,4297251034,141807,1792,22912,5792038
34,20231,11410615,3383749,2239881000,149,158,2,3,4,7,9,11345409341,337734,14856,37904,8354600
35,20231,11410565,3210231,1510019000,201,223,1,3,4,9,22,13455340211,418625,14173,17627,10266560
